token,avg_price,price_std,avg_24h_var,var_std,total_volume,volatility_score,volume_score,performance_score,cluster
AEROBUD,0.0,0.0,0.0,0.0,1.121215e+21,0.0,6.324608437498435e-05,6.324608437498435e-05,1
CATALORIAN,0.0079763516014123,,-15.964235132221903,,2.2387642564729262e+23,0.0,0.0126285389568115,-15.951606593265092,2
CHILLGUY,0.0,0.0,0.0,0.0,2.214318081652606e+22,0.0,0.0012490641690403336,0.0012490641690403336,1
DOGE,0.2143912473262909,0.0,-9.396332772462967,0.0,2.611440952506846e+23,0.0,0.014730753229954976,-9.381602019233013,2
DOGMON,5.3641492917902015e-05,0.0,10.159919765369471,0.0,1.615e+20,0.0,9.10997678841654e-06,10.15992887534626,1
DeGEM,0.0,0.0,0.0,0.0,6.365582551760314e+21,0.0,0.00035907312261613053,0.00035907312261613053,1
GOU,0.0022900861744281,,-14.058873575889086,,836757869479183.0,0.0,4.7198468840187236e-11,-14.058873575841888,2
Marvin,0.0,,0.0,,8.888e+21,0.0,0.0005013589703481546,0.0005013589703481546,1
Neiro,0.0016820312379115,0.0,-8.398000697394137,0.0,3.674542010196891e+16,0.0,2.0727531407040095e-09,-8.398000695321384,2
TACO,0.0,,0.0,,1.7727816845075968e+25,0.0,1.0,1.0,1
USDC,0.9999973561729961,0.0,0.0,0.0,32058512320.0,0.0,0.0,0.0,0
Wally,0.0001147194975044,0.0,10.273919292028966,0.0,3.9796706779161276e+21,0.0,0.00022448735299233753,10.274143779381959,1
