,,dextools_price,dextools_mcap,dextools_holders,transaction_value_usd,transaction_value_usd,transaction_value_usd
,,last,last,last,count,sum,mean
tokenSymbol,contractAddress,,,,,,
AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,258.4,3885405618.11,172995.0,1,1.1628187798786922e+23,1.1628187798786922e+23
AEROBUD,0x37843bc944edbb0477df943d9061d359004a4e70,0.0,0.0,62.0,18,1.1781989299103982e+18,6.5455496106133224e+16
AKRO,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0.01,35173934.02,17240.0,2,6.563203358111477e+23,3.2816016790557384e+23
ALT,0x8457ca5040ad67fdebbcc8edce889a335bc0fbfb,0.19,445619753.6,122577.0,1,5.417105717489361e+23,5.417105717489361e+23
ATH,0xbe0ed4138121ecfc5c0e56b40517da27e6c5226b,0.08,413544035.06,45172.0,6,3.7408468429505507e+24,6.234744738250918e+23
CATALORIAN,0x8baf5d75cae25c7df6d1e0d26c52d19ee848301a,0.01,7056028.01,3562.0,14,4.422420313509883e+22,3.158871652507059e+21
CLV,0x80c62fe4487e1351b47ba49809ebd60ed085bf52,0.13,15146200.49,17671.0,3,9.087720296372693e+23,3.029240098790898e+23
COW,0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,0.48,132802963.71,4755.0,2,3.7255639926861116e+23,1.8627819963430558e+23
CRV,0xd533a949740bb3306d119cc777fa900ba034cd52,1.1,1377829760.98,88658.0,3,6.276195620453185e+24,2.092065206817728e+24
CULTUR,0x6cb25129314123bcd5adcdc844ceaeead65a0896,0.0,3062576.88,687.0,1,5367286618329.55,5367286618329.55
DAETA,0x641c0f8b889f8336a69f464ddae3733e3de3788a,0.02,1521903.81,943.0,1,2.4858177584093127e+21,2.4858177584093127e+21
DDBAM,0x5832fbf930dacbdd9a1697dca7b3c518277ff0b0,0.41,8845357.02,1170.0,1,970748758568.9,970748758568.9
DIA,0x84ca8bc7997272c7cfb4d0cd3d55cd942b3c9419,1.02,119605565.83,23203.0,1,1.6382114921042744e+23,1.6382114921042744e+23
DNT,0x0abdace70d3790235af448c88547603b945604ea,0.08,77500608.84,41223.0,3,6.132798232403264e+23,2.044266077467755e+23
DOGE,0x1121acc14c63f3c872bfca497d10926a6098aac5,0.3,291167644.65,26297.0,126,1.886767547638571e+24,1.4974345616179136e+22
DOGGO,0x3739426e21d912b604c106f852d136ba58f61517,0.0,909726.33,2656.0,6,1.395914824096563e+22,2.3265247068276046e+21
DOGMON,0x8475ec8b519025548c2417b82aa25bf58cd72b39,0.0,0.0,42.0,14,3581062144413360.5,255790153172382.9
ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,0.59,435236197.81,50879.0,3,2.8515155985625345e+23,9.505051995208449e+22
ELROND,0x36c224af80207ecaba3ee9052faaba56d1f50c18,0.0,0.0,77.0,24,8.085352136358406e+16,3368896723482669.5
ENJ,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,0.37,216484749.84,157987.0,2,2.9035815826284623e+23,1.4517907913142312e+23
FLOKI,0xcf0c122c6b73ff809c693db761e7baebe62b6a2e,0.0,1335335513.13,85758.0,4,2293493386090304.0,573373346522576.0
FLUX,0x720cd16b011b987da3518fbf38c3071d4f0d1495,4.410638266811531e+31,0.0,10679.0,1,3.0874467867680718e+44,3.0874467867680718e+44
GALA,0xd1d2eb1b1e90b638588728b4130137d262c87cae,0.06,2226455291.08,224632.0,2,81967462551166.14,40983731275583.07
GNUT,0x619ef615fc1ef0c9e066b233ddbf50e5a9ad3de4,0.0,0.0,53.0,2,2.4459860519678884e+16,1.2229930259839442e+16
GOU,0xed89fc0f41d8be2c98b13b7e3cd3e876d73f1d30,0.0,1284393.74,5326.0,2,5779757195572.49,2889878597786.24
HAITO,0x22285458758ac560b63ba223eb8450f821e0198c,0.0,0.0,46.0,10,3.715855675174648e+16,3715855675174648.5
I LOVE TRUMP,0x14a16a0abc0c00bbc1cf240c14c43dd42697a554,0.0,0.0,109.0,2,6.099803151021757e+17,3.049901575510879e+17
JASMY,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,0.05,2658595410.2,79178.0,1,1.159514727503325e+24,1.159514727503325e+24
KNC,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,0.85,158055108.18,17897.0,1,1.7006603463304262e+22,1.7006603463304262e+22
LINK,0x514910771af9ca656af840dff83e8264ecf986ca,24.4,15297583288.51,724663.0,6,3.244498355385496e+24,5.4074972589758275e+23
LMWR,0x628a3b2e302c7e896acc432d2d0dd22b6cb9bc88,0.38,117935611.01,11402.0,2,6.205783525780598e+23,3.102891762890299e+23
LTO,0xd01409314acb3b245cea9500ece3f6fd4d70ea30,0.2,86505613.56,2492.0,1,23001874837664.42,23001874837664.42
MAVIA,0x24fcfc492c1393274b6bcd568ac9e225bec93584,2.21,69786048.42,36197.0,1,1.1066259937159713e+23,1.1066259937159713e+23
MT,0x7539d2ea6fc2e289d7ce9ecb7a66e37bf12d87c0,0.0,0.0,860.0,2,4.624569951955758e+17,2.312284975977879e+17
Marvin,0x85bea4ee627b795a79583fcede229e198aa57055,0.0,14082889.89,7009.0,3,6.504013377958812e+17,2.1680044593196042e+17
NEURON,0x78457e3d787c0afea00fb6306f040b476a9393cf,0.1,0.0,64.0,15,2.8131452613543292e+16,1875430174236219.5
NPC,0x8ed97a637a790be1feff5e888d43629dc05408f6,0.03,266476071.09,14871.0,20,1.2369444224290505e+23,6.184722112145252e+21
NVIDIA AI,0xc7e8c1ff4afdfc47ff9885627afe9a3fa2d7c65b,0.01,0.0,67.0,65,3.634893260183657e+21,5.592143477205626e+19
Neiro,0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,0.0,755937020.85,21760.0,94,1188705839786452.2,12645806806238.85
OPEN AI,0x1bdf90b9fd1c17146aa26f24cee5094b60b2b660,0.0,0.0,53.0,46,2.216587171742574e+19,4.81866776465777e+17
ORIAN.,0xd3aef756e77ff56d2efcdc8bbb84674038da42ac,0.0,0.0,66.0,13,3866822679067565.0,297447898389812.6
PEPE,0x6982508145454ce325ddbe47a25d4ec3d2311933,0.0,9069941043.47,342165.0,4,4.515281225933318e+24,1.1288203064833295e+24
PORTAL,0x1bbe973bef3a977fc51cbed703e8ffdefe001fed,0.54,103609603.15,21282.0,1,3.2610243623266067e+23,3.2610243623266067e+23
REN,0x408e41876cccdc0f92210600ef50372656052a38,346012.66,345781001955706.7,65921.0,1,3.8408097789398e+30,3.8408097789398e+30
REQ,0x8f8221afbb33998d8584a2b05749ba73c37a938a,0.15,115592031.71,42447.0,1,4.507734928366058e+22,4.507734928366058e+22
RSR,0x320623b8e4ff03373931769a31fc52a4e78b5d70,0.02,1011853858.35,24061.0,2,1.2110455700551029e+24,6.055227850275514e+23
SAFE,0x5afe3855358e112b5647b952709e6165e1c1eeee,1.8,766900739.48,10402.0,1,3.0017777301707647e+23,3.0017777301707647e+23
SHIKATO,0xe3a9640f959c5aa92dbfac0073180903c30af29c,0.0,0.0,89.0,18,1.7231502793992246e+16,957305710777347.0
SIF,0x55d0c027569318f819e81718e484862e6556766a,0.0,0.0,74.0,37,8.459563576895862e+16,2286368534296179.0
SLP,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,0.01,48487804.16,63581.0,1,287996.34,287996.34
SNT,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0.07,276141727.17,82670.0,1,5.5270979489574095e+22,5.5270979489574095e+22
SPX,0x5ff0d2de4cd862149c6672c99b7edf3b092667a3,0.28,142077493.58,3164.0,1,2.841549871532053e+20,2.841549871532053e+20
STMX,0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,0.01,105910064.6,0.0,2,1.23575430964763e+23,6.17877154823815e+22
SUPER,0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55,1.75,851790370.66,40459.0,2,8.029564886269618e+23,4.014782443134809e+23
SYN,0x0f2d719407fdbeff09d87557abb7232601fd9f29,0.9,162570007.77,8188.0,1,3.0710081025568744e+23,3.0710081025568744e+23
SynergyAI,0x278b3b1e986eab2d3a33340aeaa362f4b5452f05,0.0,0.0,72.0,9,5.765458642004566e+16,6406065157782852.0
TESLA AI,0xdba22db98d9651e7d11b811476b0c7c563d7ff84,0.02,0.0,73.0,100,9.628555717963353e+19,9.628555717963354e+17
TURBO,0xa35923162c49cf95e6bf26623385eb431ad920d3,0.01,591938260.92,45213.0,22,5.0827042049469603e+23,2.310320093157709e+22
VANRY,0x8de5b80a0c1b02fe4976851d030b36122dbb8624,0.18,268621802.35,0.0,3,1.0510326977584055e+24,3.503442325861352e+23
WLD,0x163f8c2467924be0ae7b5347228cabf260318753,3.97,2919642634.93,34250.0,6,2.7528800138517425e+24,4.588133356419571e+23
Wally,0x53dac5b23b3ca9a3c86aff8d0c7110fba72a9783,0.0,0.0,72.0,32,9.386743290302626e+18,2.9333572782195706e+17
